,D3,D2,D1,clusters
0,-168.4633,66.75333,9.944206,0
1,121.911026,10.4582615,-87.1059,1
2,-10.294452,-61.278484,-27.762384,0
3,-23.243898,-124.717125,69.33954,2
4,-32.50715,20.260902,53.71753,1
5,74.94043,-11.717478,7.923122,2
6,40.408447,23.319006,-11.559391,3
7,111.135895,-56.973797,123.11343,0
8,-81.642494,132.08844,-51.62858,1
9,-22.889627,-5.150338,92.51081,2
10,22.139212,68.18632,-43.820736,3
11,0.42057657,4.9359646,-88.2436,1
12,110.739655,-86.61203,-93.67853,0
13,-112.87643,-34.911118,149.99202,3
14,29.800385,67.36217,96.12115,1
15,-11.625415,-44.14886,-124.74166,1
16,-83.84686,103.81877,80.70815,2
17,-195.79408,14.684804,30.006601,0
18,-172.80916,-61.271885,-26.761585,3
19,6.0397243,36.4873,55.571796,1
20,-19.796041,122.00591,-84.93886,1
21,35.293827,144.87848,-138.69344,1
22,-11.481797,-9.882813,-52.025692,1
23,48.908558,53.458298,-97.55597,0
24,87.986305,116.50826,-31.025682,0
25,-33.124653,-103.4092,-48.648373,3
26,53.40035,69.72822,-166.379,2
27,32.67975,111.31784,-101.09455,3
28,-103.98696,-70.7236,-72.03123,3
29,-19.928228,-165.40546,45.5542,2
30,-39.928062,169.94601,-16.414158,0
31,26.832827,25.438198,-176.71837,3
32,-118.21884,-12.556678,-25.007286,3
33,74.62574,16.7706,-78.065704,2
34,92.1449,-84.73171,-121.03174,0
35,92.395294,43.713894,-126.51979,0
36,-53.507626,-76.991684,-48.162197,0
37,-102.75398,-8.00328,97.96536,2
38,30.308247,-10.472177,-55.931065,2
39,-80.459015,45.26959,-129.48024,0
40,-36.458668,-74.51323,164.92264,1
41,18.817019,-101.29888,45.687836,0
42,85.91904,-39.82338,-96.20488,2
43,21.1594,0.10495533,79.29447,0
44,84.84884,-76.2899,-22.617771,1
45,-57.701885,50.902435,21.134398,1
46,152.89575,116.93997,-27.635166,1
47,108.949,62.420475,-108.85546,0
48,27.102842,-124.40417,-63.524464,3
49,-219.0667,180.18993,176.09789,2
50,105.20316,-95.23024,-18.977917,3
